,Engagements,Followers,Created,Type,Description,datetime,year,month,month_int,weekday,day_time,is_playoffs
0,502093,36984682,2019-05-21 23:30:51 EDT,Video,The @raptors bench trio of @sergeibaka @normanpowell4 & @fredvanvleet combine for 48 in Game 4!,2019-05-21 23:30:51,2019,May,5,Tuesday,postgame,True
1,603380,36984682,2019-05-21 22:53:33 EDT,Video,@kyle_lowry7 pulls from deep for the @raptors in the 4th on TNT!,2019-05-21 22:53:33,2019,May,5,Tuesday,night,True
2,603380,36984682,2019-05-21 22:19:58 EDT,Video,@k_mid22 with some english on the @bucks dime!,2019-05-21 22:19:58,2019,May,5,Tuesday,night,True
3,725100,36984682,2019-05-21 22:02:41 EDT,Video,Kawhi punches it home with the left on TNT!,2019-05-21 22:02:41,2019,May,5,Tuesday,night,True
4,661446,36984682,2019-05-21 20:47:49 EDT,Video,@giannis_an34 goes baseline early to rock the rim on TNT!,2019-05-21 20:47:49,2019,May,5,Tuesday,evening,True
5,322444,36955156,2019-05-21 14:02:32 EDT,Photo,"Congrats to the 2018-19 NBA All-Rookie First Team, led by unanimous selections @lukadoncic & @traeyoung!",2019-05-21 14:02:32,2019,May,5,Tuesday,afternoon,True
6,722540,36955156,2019-05-21 12:30:53 EDT,Video,The @warriors locked in for four games to advance to the #NBAFinals presented by YouTube TV! #GatoradeZero,2019-05-21 12:30:53,2019,May,5,Tuesday,lunch,True
7,339265,36955156,2019-05-21 08:59:02 EDT,Photo,Will the @bucks take a commanding 3-1 lead... or will the @raptors even the ECF up 2-2??,2019-05-21 08:59:02,2019,May,5,Tuesday,morning,True
8,443330,36955156,2019-05-21 00:48:16 EDT,Photo,TAP to SHOP the @warriors Western Conference Champions gear from @nbastore!,2019-05-21 00:48:16,2019,May,5,Tuesday,postgame,True
9,652193,36955156,2019-05-21 00:38:18 EDT,Video,Hey @stephencurry30... that was the first time teammates had triple-doubles in the same #NBAPlayoffs game in @nbahistory!,2019-05-21 00:38:18,2019,May,5,Tuesday,postgame,True
10,652193,36955156,2019-05-21 00:31:13 EDT,Video,@stephencurry30 (37/13/11) & @money23green (18/14/11) become the first teammates in #NBAPlayoffs history to record a triple-double in the same game!,2019-05-21 00:31:13,2019,May,5,Tuesday,postgame,True
11,443330,36955156,2019-05-21 00:24:13 EDT,Photo,The @warriors defeat @trailblazers 119-117 to advance to their 5th consecutive #NBAFinals presented by YouTube TV!,2019-05-21 00:24:13,2019,May,5,Tuesday,postgame,True
12,713427,36955156,2019-05-21 00:21:06 EDT,Video,@money23green (18/14/11) reacts to a 5th straight #NBAFinals appearance with the @warriors!,2019-05-21 00:21:06,2019,May,5,Tuesday,postgame,True
13,470233,36955156,2019-05-20 23:54:39 EDT,Photo,The @warriors win the West & advance to their 5th consecutive #NBAFinals presented by YouTube TV!,2019-05-20 23:54:39,2019,May,5,Monday,postgame,True
14,675091,36955156,2019-05-20 23:45:36 EDT,Video,@money23green triple extends the @warriors lead late in OT on ESPN! #NBAPlayoffs,2019-05-20 23:45:36,2019,May,5,Monday,postgame,True
15,443543,36955156,2019-05-20 23:33:24 EDT,Photo,@stephencurry30 & @money23green become the first teammates in @nbahistory to record triple-doubles in the same #NBAPlayoffs game!,2019-05-20 23:33:24,2019,May,5,Monday,postgame,True
16,718485,36955156,2019-05-20 23:29:25 EDT,Video,?? @meyersleonard11! ?? (??: ESPN),2019-05-20 23:29:25,2019,May,5,Monday,night,True
