"","Engagements","Followers","Created","Type","Description","datetime","year","month","month_int","weekday","day_time","is_playoffs","clean_words","season_yr","is_season","is_finals","Followers_Mentioned","all_nba","league_type","same_day_post","num_ats","num_hash","Type_num","wkdy_num","day_time_num"
"1",502093,36984682,"2019-05-21 23:30:51 EDT","Video","The @raptors bench trio of @sergeibaka @normanpowell4 & @fredvanvleet combine for 48 in Game 4!","2019-05-21 23:30:51",2019,"May",5,"Tuesday","postgame","True","raptors bench trio sergeibaka normanpowell4 fredvanvleet combine 48 game 4",2019,"True","False",2400000,0,1,0,4,0,1,3,7
"2",603380,36984682,"2019-05-21 22:53:33 EDT","Video","@kyle_lowry7 pulls from deep for the @raptors in the 4th on TNT!","2019-05-21 22:53:33",2019,"May",5,"Tuesday","night","True","kyle_lowry7 pulls deep raptors 4th tnt",2019,"True","False",2400000,1,1,1,2,0,1,3,6
"3",603380,36984682,"2019-05-21 22:19:58 EDT","Video","@k_mid22 with some english on the @bucks dime!","2019-05-21 22:19:58",2019,"May",5,"Tuesday","night","True","k_mid22 english bucks dime",2019,"True","False",1800000,1,1,1,2,0,1,3,6
"4",725100,36984682,"2019-05-21 22:02:41 EDT","Video","Kawhi punches it home with the left on TNT!","2019-05-21 22:02:41",2019,"May",5,"Tuesday","night","True","kawhi punches home left tnt",2019,"True","False",0,1,1,1,0,0,1,3,6
"5",661446,36984682,"2019-05-21 20:47:49 EDT","Video","@giannis_an34 goes baseline early to rock the rim on TNT!","2019-05-21 20:47:49",2019,"May",5,"Tuesday","evening","True","giannis_an34 goes baseline early rock rim tnt",2019,"True","False",0,1,1,0,1,0,1,3,5
"6",322444,36955156,"2019-05-21 14:02:32 EDT","Photo","Congrats to the 2018-19 NBA All-Rookie First Team, led by unanimous selections @lukadoncic & @traeyoung!","2019-05-21 14:02:32",2019,"May",5,"Tuesday","afternoon","True","congrats 2018 19 nba rookie first team led unanimous selections lukadoncic traeyoung",2019,"True","False",0,0,1,0,2,0,2,3,4
"7",722540,36955156,"2019-05-21 12:30:53 EDT","Video","The @warriors locked in for four games to advance to the #NBAFinals presented by YouTube TV! #GatoradeZero","2019-05-21 12:30:53",2019,"May",5,"Tuesday","lunch","True","warriors locked four games advance nbafinals presented youtube tv gatoradezero",2019,"True","False",12100000,0,1,0,1,2,1,3,3
"8",339265,36955156,"2019-05-21 08:59:02 EDT","Photo","Will the @bucks take a commanding 3-1 lead... or will the @raptors even the ECF up 2-2??","2019-05-21 08:59:02",2019,"May",5,"Tuesday","morning","True","bucks take commanding 3 1 lead raptors even ecf 2 2",2019,"True","False",4200000,0,1,0,2,0,2,3,2
"9",443330,36955156,"2019-05-21 00:48:16 EDT","Photo","TAP to SHOP the @warriors Western Conference Champions gear from @nbastore!","2019-05-21 00:48:16",2019,"May",5,"Tuesday","postgame","True","tap shop warriors western conference champions gear nbastore",2019,"True","False",12100000,0,1,1,2,0,2,3,7
"10",652193,36955156,"2019-05-21 00:38:18 EDT","Video","Hey @stephencurry30... that was the first time teammates had triple-doubles in the same #NBAPlayoffs game in @nbahistory!","2019-05-21 00:38:18",2019,"May",5,"Tuesday","postgame","True","hey stephencurry30 first time teammates triple doubles nbaplayoffs game nbahistory",2019,"True","False",0,2,1,1,2,1,1,3,7
"11",652193,36955156,"2019-05-21 00:31:13 EDT","Video","@stephencurry30 (37/13/11) & @money23green (18/14/11) become the first teammates in #NBAPlayoffs history to record a triple-double in the same game!","2019-05-21 00:31:13",2019,"May",5,"Tuesday","postgame","True","stephencurry30 37 13 11 money23green 18 14 11 become first teammates nbaplayoffs history record triple double game",2019,"True","False",0,1,1,1,2,1,1,3,7
"12",443330,36955156,"2019-05-21 00:24:13 EDT","Photo","The @warriors defeat @trailblazers 119-117 to advance to their 5th consecutive #NBAFinals presented by YouTube TV!","2019-05-21 00:24:13",2019,"May",5,"Tuesday","postgame","True","warriors defeat trailblazers 119 117 advance 5th consecutive nbafinals presented youtube tv",2019,"True","False",13500000,0,1,1,2,1,2,3,7
"13",713427,36955156,"2019-05-21 00:21:06 EDT","Video","@money23green (18/14/11) reacts to a 5th straight #NBAFinals appearance with the @warriors!","2019-05-21 00:21:06",2019,"May",5,"Tuesday","postgame","True","money23green 18 14 11 reacts 5th straight nbafinals appearance warriors",2019,"True","False",12100000,1,1,1,2,1,1,3,7
"14",470233,36955156,"2019-05-20 23:54:39 EDT","Photo","The @warriors win the West & advance to their 5th consecutive #NBAFinals presented by YouTube TV!","2019-05-20 23:54:39",2019,"May",5,"Monday","postgame","True","warriors win west advance 5th consecutive nbafinals presented youtube tv",2019,"True","False",12100000,0,1,1,1,1,2,2,7
"15",675091,36955156,"2019-05-20 23:45:36 EDT","Video","@money23green triple extends the @warriors lead late in OT on ESPN! #NBAPlayoffs","2019-05-20 23:45:36",2019,"May",5,"Monday","postgame","True","money23green triple extends warriors lead late ot espn nbaplayoffs",2019,"True","False",12100000,1,1,1,2,1,1,2,7
"16",443543,36955156,"2019-05-20 23:33:24 EDT","Photo","@stephencurry30 & @money23green become the first teammates in @nbahistory to record triple-doubles in the same #NBAPlayoffs game!","2019-05-20 23:33:24",2019,"May",5,"Monday","postgame","True","stephencurry30 money23green become first teammates nbahistory record triple doubles nbaplayoffs game",2019,"True","False",0,1,1,1,3,1,2,2,7
"17",718485,36955156,"2019-05-20 23:29:25 EDT","Video","?? @meyersleonard11! ?? (??: ESPN)","2019-05-20 23:29:25",2019,"May",5,"Monday","night","True","meyersleonard11 espn",2019,"True","False",0,0,1,1,1,0,1,2,6
